type,name,notice,furigana
もやせる,空きびん（飲食用以外）,割れたびんは紙等に包み、注意と明記して出してください。,あ
もやせる,油（植物性油）,廃食油を固める製品等を使用したり、布や新聞紙等にしみこませるなどして、もやせるごみに出してください。,あ
もやせる,油（植物性油以外）,廃油を固める製品等を使用したり、布や新聞紙等にしみこませるなどして、もやせるごみに出すか、販売店に引り取りを依頼してください。,あ
もやせる,アルミ箔,,あ
もやせる,あんか（金属以外）,,あ
もやせる,色えんぴつ,,い
もやせる,植木鉢,,う
もやせる,枝木（剪定枝）,詳しくは、もやせるごみの出し方をご覧ください。,え
もやせる,絵の具（チューブ）,,え
もやせる,MD,,え
もやせる,えんぴつ,,え
もやせる,オガライト,,お
もやせる,おむつ,汚物は取り除いて出してください。,お
もやせる,おもちゃ（金属製以外）,,お
もやせる,カーテン,,か
もやせる,カーペット,,か
もやせる,懐中電灯（金属製以外）,,か
もやせる,花器,,か
もやせる,カセットテープ,,か
もやせる,合羽,,か
もやせる,花瓶,,か
もやせる,カップ麺の調味料・かやく袋,きれいに洗うことが困難なため、もやせるごみで出してください。,か
もやせる,かばん,,か
もやせる,紙おむつ,汚物は取り除いて出してください。,か
もやせる,紙コップ（表示なし）,,か
もやせる,ガラス製品,紙等に包み、「注意」と明記してください。,か
もやせる,木くず,,き
もやせる,急須,,き
もやせる,草,泥を除いて出してください。,く
もやせる,靴,,く
もやせる,クリアファイル,,く
もやせる,クリップ（金属製以外）,,く
もやせる,蛍光ペン,,け
もやせる,計量カップ（金属以外）,,け
もやせる,消しゴム,,け
もやせる,化粧品のびん,,け
もやせる,ケチャップのチューブ,きれいに洗うことが困難なため、もやせるごみで出してください。,け
もやせる,コップ（ガラス・陶磁器）,,こ
もやせる,皿,,さ
もやせる,サンダル,,さ
もやせる,CD,,し
もやせる,下着類,,し
もやせる,シーツ,,し
もやせる,シャープペン,,し
もやせる,じゅうたん,,し
もやせる,食用油（植物油）,廃食油を固める製品等を利用してもやせるごみに出してください。,し
もやせる,食器（金属製以外）,,し
もやせる,スキー板,袋に入らないものは粗大ごみで申し込んでください。（電話27‐1570）,す
もやせる,スティック,,す
もやせる,ズック,,す
もやせる,ストッキング,,す
もやせる,炭,,す
もやせる,スリッパ,,す
もやせる,石灰,,せ
もやせる,洗顔料のチューブ,きれいに洗うことが困難なため、もやせるごみに出してください。,せ
もやせる,タイル,,た
もやせる,タオル,,た
もやせる,茶碗,,ち
もやせる,調味料の小袋,,ち
もやせる,チューブ容器,,ち
もやせる,杖（金属製以外）,,つ
もやせる,電気カーペット,,て
もやせる,電気毛布,,て
もやせる,電球,紙等に包み、「注意」と明記してください。,て
もやせる,陶磁器,,と
もやせる,納豆の容器,きれいに洗うことが困難なため、もやせるごみに出してください。,な
もやせる,なべのふた（金属製以外）,,な
もやせる,生ごみ,水分をよく切って出してください。,な
もやせる,塗薬のチューブ,きれいに洗うことが困難なため、もやせるごみに出してください。,ぬ
もやせる,猫砂,,ね
もやせる,糊,,の
もやせる,灰,水分を含ませてもやせるごみで出してください。,は
もやせる,箸（木製・金属製以外）,,は
もやせる,発泡スチロール（プラ製マークのないもの）,,は
もやせる,花火,水を含ませて出してください。,は
もやせる,はみがきのチューブ,きれいに洗うことが困難なため、もやせるごみに出してください。,は
もやせる,ハンドクリームの容器,きれいに洗うことが困難なため、もやせるごみに出してください。,は
もやせる,ビデオテープ,,ひ
もやせる,ビニールホース,ほどけないよう束ねてしばって、指定袋に入れて出してください。,ひ
もやせる,びん（飲食料用以外）,,ひ
もやせる,びんのふた（上記以外）,,ひ
もやせる,フィルム（ネガ）,,ふ
もやせる,ブーツ,,ふ
もやせる,筆ペン,,ふ
もやせる,布団,,ふ
もやせる,布団カバー,,ふ
